timestamp,avg_ear,avg_mar,avg_tilt,avg_redness,perclos,blink_count,blink_rate_per_min,yawn_count,yawn_rate_per_min,nod_count,nod_rate_per_min,fatigue_score,state
2026-03-21 15:29:35,0.2108,0.5724,-1.25,0.0084,62.0,9,107.71,2,23.94,1,11.97,74.05,Fatigued
2026-03-21 15:29:40,0.2489,0.15,1.44,0.0173,35.11,7,83.15,0,0.0,1,11.88,43.23,Mild Fatigue
2026-03-21 15:29:45,0.2742,0.0848,-1.35,0.0006,19.21,8,95.78,0,0.0,0,0.0,22.07,Alert
2026-03-21 15:29:50,0.3104,0.0188,0.64,0.008,2.0,1,11.97,0,0.0,0,0.0,2.84,Alert
2026-03-21 15:29:55,0.2836,0.039,0.65,0.0488,21.85,4,47.84,0,0.0,1,11.96,31.75,Alert
2026-03-21 15:30:00,0.277,0.0902,3.67,0.0191,18.67,7,83.93,0,0.0,2,23.98,29.34,Alert
2026-03-21 15:40:40,0.2941,0.0154,-10.6,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,5.94,Alert
2026-03-21 15:40:48,0.2865,0.0283,-6.13,0.0,7.78,2,14.99,0,0.0,2,14.99,0.0,15.83,Alert
2026-03-21 15:40:56,0.2276,0.0432,3.76,0.0,56.85,6,44.84,0,0.0,0,0.0,0.0,47.21,Mild Fatigue
2026-03-21 15:41:04,0.208,0.0403,9.46,0.0,79.67,5,37.38,0,0.0,0,0.0,0.0,51.78,Mild Fatigue
2026-03-21 15:41:12,0.2387,0.595,13.55,0.0,40.25,11,82.06,0,0.0,0,0.0,0.54,48.08,Mild Fatigue
2026-03-21 15:41:20,0.2131,0.0563,7.27,0.0,66.49,7,52.3,0,0.0,2,14.94,0.46,58.18,Mild Fatigue
2026-03-21 15:41:28,0.205,0.3733,12.13,0.0164,78.75,10,75.0,0,0.0,0,0.0,1.87,53.74,Mild Fatigue
2026-03-21 15:41:36,0.2637,0.6721,7.12,0.1268,31.12,7,52.4,3,22.46,0,0.0,0.0,55.34,Mild Fatigue
2026-03-21 15:41:44,0.2593,0.0214,4.99,0.0551,16.76,6,44.9,0,0.0,1,7.48,0.06,32.48,Alert
2026-03-21 15:41:52,0.1888,0.037,-2.65,0.0547,63.6,6,44.98,0,0.0,0,0.0,2.14,54.47,Mild Fatigue
2026-03-21 15:42:00,0.1623,0.0487,-0.68,0.1691,87.6,2,14.96,0,0.0,0,0.0,3.16,54.03,Mild Fatigue
2026-03-21 15:42:08,0.1532,0.0279,10.13,0.0038,85.83,1,7.49,0,0.0,0,0.0,2.4,46.05,Mild Fatigue
2026-03-21 15:42:16,0.1268,0.0204,3.63,0.0446,92.08,1,7.49,0,0.0,0,0.0,0.0,90.0,Fatigued
2026-03-21 15:42:24,0.2686,0.039,13.22,0.0,18.67,7,52.35,0,0.0,1,7.48,0.0,33.84,Alert
2026-03-21 15:42:32,0.2488,0.2735,9.01,0.0287,36.92,10,74.75,1,7.47,3,22.42,0.97,58.36,Mild Fatigue
2026-03-21 15:42:40,0.2876,0.132,6.59,0.0007,12.7,3,22.46,0,0.0,3,22.46,0.0,20.24,Alert
2026-03-21 15:43:16,0.2796,0.4501,-1.23,0.0,2.71,0,0.0,1,7.47,0,0.0,0.18,19.78,Alert
2026-03-21 15:43:24,0.2523,0.4736,5.25,0.0,31.54,9,67.24,1,7.47,1,7.47,0.0,55.16,Mild Fatigue
2026-03-21 15:43:32,0.2724,0.0177,1.32,0.0,13.33,6,44.94,0,0.0,0,0.0,0.0,18.8,Alert
2026-03-21 15:43:40,0.2385,0.0231,-3.4,0.0,39.0,4,29.98,0,0.0,0,0.0,0.0,37.18,Mild Fatigue
2026-03-21 15:43:48,0.2883,0.1293,-3.74,0.0,12.5,6,44.88,0,0.0,0,0.0,0.08,16.03,Alert
2026-03-21 15:43:56,0.231,0.836,-1.47,0.0,46.47,13,97.17,1,7.47,0,0.0,0.03,66.32,Fatigued
